Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 20s;Nb d'abandons >  20s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 20s;Nb Appels décrochés > 20s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 20s;SLA
01/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
02/08;;6;6;0;0;6;0;0;0;0;0;00:0:00;0.00;80;
03/08;;1;1;0;0;1;0;0;0;0;0;00:0:00;0.00;80;
04/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
05/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
08/08;;2;0;2;2;0;0;0;2;0;0;00:2:11;100.00;80;
09/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
10/08;;2;0;2;2;0;0;0;2;0;0;00:4:49;100.00;80;
11/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
12/08;;1;0;1;1;0;0;0;1;0;0;00:4:26;100.00;80;
16/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
17/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
18/08;;1;1;0;0;1;0;0;0;0;0;00:0:00;0.00;80;
19/08;;3;0;3;3;0;0;0;3;0;0;00:7:08;100.00;80;
22/08;;1;1;1;0;0;0;1;0;0;0;00:0:00;0.00;80;
23/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
24/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
25/08;;2;1;2;1;0;0;1;1;0;0;00:2:32;50.00;80;
26/08;;2;0;2;2;0;0;0;2;0;0;00:9:45;100.00;80;
29/08;;1;0;1;1;0;0;0;1;0;0;00:4:34;100.00;80;
30/08;;1;0;1;1;0;0;0;1;0;0;00:2:08;100.00;80;
31/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;

;Totaux;23;10;15;13;8;0;2;13;0;0;00:5:16;86.67;80;
